date,close,open,high,low,change
2019-10-15,1184.88 ,1183.79 ,1186.83 ,1181.88 ,0.02%
2019-10-14,1184.70 ,1183.40 ,1187.23 ,1180.80 ,0.10%
2019-10-11,1183.48 ,1190.74 ,1193.10 ,1178.29 ,-0.59%
2019-10-10,1190.46 ,1198.50 ,1202.08 ,1189.45 ,-0.67%
2019-10-09,1198.50 ,1200.02 ,1200.40 ,1196.80 ,-0.13%
2019-10-08,1200.02 ,1197.33 ,1200.31 ,1192.51 ,0.22%
2019-10-07,1197.33 ,1192.30 ,1198.92 ,1192.30 ,0.43%
2019-10-04,1192.25 ,1201.89 ,1203.58 ,1191.85 ,-0.80%
2019-10-03,1201.89 ,1205.37 ,1206.99 ,1201.45 ,-0.29%
2019-10-02,1205.37 ,1203.37 ,1207.89 ,1201.50 ,0.17%
2019-10-01,1203.37 ,1199.09 ,1204.61 ,1196.62 ,0.36%
2019-09-30,1199.09 ,1203.18 ,1204.30 ,1195.90 ,-0.32%
2019-09-27,1202.99 ,1201.23 ,1204.02 ,1197.20 ,0.21%
2019-09-26,1200.46 ,1199.82 ,1203.29 ,1197.99 ,0.05%
2019-09-25,1199.82 ,1195.53 ,1202.67 ,1194.50 ,0.36%
2019-09-24,1195.53 ,1195.04 ,1199.06 ,1192.75 ,0.04%
2019-09-23,1195.04 ,1194.14 ,1199.39 ,1191.00 ,0.08%
2019-09-20,1194.13 ,1195.35 ,1196.30 ,1187.40 ,-0.10%
2019-09-19,1195.35 ,1191.78 ,1198.00 ,1190.50 ,0.30%
2019-09-18,1191.73 ,1187.62 ,1195.07 ,1187.04 ,0.35%
2019-09-17,1187.62 ,1185.02 ,1191.70 ,1183.79 ,0.22%
2019-09-16,1185.02 ,1181.80 ,1186.60 ,1181.80 ,0.45%
2019-09-13,1179.72 ,1182.44 ,1184.72 ,1175.75 ,-0.23%
2019-09-12,1182.44 ,1190.68 ,1191.61 ,1177.90 ,-0.69%
2019-09-11,1190.68 ,1192.35 ,1195.51 ,1189.40 ,-0.07%
2019-09-10,1191.51 ,1192.09 ,1193.86 ,1188.76 ,-0.12%
2019-09-09,1192.93 ,1192.87 ,1195.88 ,1189.29 ,0.01%
2019-09-06,1192.77 ,1198.03 ,1199.40 ,1189.80 ,-0.44%
2019-09-05,1198.02 ,1204.14 ,1205.48 ,1195.70 ,-0.55%
2019-09-04,1204.63 ,1211.54 ,1213.00 ,1203.60 ,-0.57%
2019-09-03,1211.54 ,1214.67 ,1217.80 ,1211.24 ,-0.25%
2019-09-02,1214.61 ,1210.05 ,1215.58 ,1209.90 ,0.34%
2019-08-30,1210.50 ,1209.12 ,1212.58 ,1206.99 ,0.11%
2019-08-29,1209.12 ,1213.29 ,1217.88 ,1207.90 ,-0.34%
2019-08-28,1213.29 ,1212.74 ,1216.08 ,1211.74 ,0.05%
